Subject,Predicate,Object,SourceName,SourceChapter,SourceType
肥大性脊椎炎,疾病表现症状,腰部沉重冷痛,万友生医生病例集,例2,现代临床
肥大性脊椎炎,疾病表现症状,不能转侧俯仰,万友生医生病例集,例2,现代临床
肥大性脊椎炎,疾病表现症状,形寒,万友生医生病例集,例2,现代临床
肥大性脊椎炎,疾病表现症状,不渴,万友生医生病例集,例2,现代临床
肥大性脊椎炎,疾病表现症状,小便清利,万友生医生病例集,例2,现代临床
肥大性脊椎炎,疾病导致舌象,舌体胖润,万友生医生病例集,例2,现代临床
肥大性脊椎炎,疾病导致脉象,脉象沉细,万友生医生病例集,例2,现代临床
甘姜苓术汤加附桂,证候采用方剂,腰部沉重冷痛,万友生医生病例集,例2,现代临床
甘姜苓术汤加附桂,方剂组成药材,熟附子,万友生医生病例集,例2,现代临床
甘姜苓术汤加附桂,方剂组成药材,肉桂,万友生医生病例集,例2,现代临床
甘姜苓术汤加附桂,方剂组成药材,干姜,万友生医生病例集,例2,现代临床
甘姜苓术汤加附桂,方剂组成药材,白术,万友生医生病例集,例2,现代临床
甘姜苓术汤加附桂,方剂组成药材,云苓,万友生医生病例集,例2,现代临床
甘姜苓术汤加附桂,方剂组成药材,炙甘草,万友生医生病例集,例2,现代临床
寒湿着于肾之外府,证候导致舌象,舌体胖润,万友生医生病例集,例2,现代临床
寒湿着于肾之外府,证候导致脉象,脉象沉细,万友生医生病例集,例2,现代临床
肾之中脏阳虚之症,证候导致舌象,舌体胖润,万友生医生病例集,例2,现代临床
肾之中脏阳虚之症,证候导致脉象,脉象沉细,万友生医生病例集,例2,现代临床
右胫腓骨硬化性骨炎,疾病表现症状,患处隆起,万友生医生病例集,例2,现代临床
右胫腓骨硬化性骨炎,疾病表现症状,疼痛酸胀,万友生医生病例集,例2,现代临床
右胫腓骨硬化性骨炎,疾病表现症状,日轻夜重,万友生医生病例集,例2,现代临床
右胫腓骨硬化性骨炎,疾病表现症状,难以入寐,万友生医生病例集,例2,现代临床
右胫腓骨硬化性骨炎,疾病表现症状,痛引左膝关节,万友生医生病例集,例2,现代临床
右胫腓骨硬化性骨炎,疾病表现症状,手冷,万友生医生病例集,例2,现代临床
右胫腓骨硬化性骨炎,疾病表现症状,肌瘦,万友生医生病例集,例2,现代临床
右胫腓骨硬化性骨炎,疾病导致舌象,舌苔稍呈灰白色,万友生医生病例集,例2,现代临床
右胫腓骨硬化性骨炎,疾病导致脉象,脉弦细缓,万友生医生病例集,例2,现代临床
当归四逆汤加鹿茸,证候采用方剂,寒凝血脉,万友生医生病例集,例2,现代临床
当归四逆汤加鹿茸,方剂组成药材,当归,万友生医生病例集,例2,现代临床
当归四逆汤加鹿茸,方剂组成药材,桂枝,万友生医生病例集,例2,现代临床
当归四逆汤加鹿茸,方剂组成药材,赤白芍,万友生医生病例集,例2,现代临床
当归四逆汤加鹿茸,方剂组成药材,细辛,万友生医生病例集,例2,现代临床
当归四逆汤加鹿茸,方剂组成药材,炙甘草,万友生医生病例集,例2,现代临床
当归四逆汤加鹿茸,方剂组成药材,木通,万友生医生病例集,例2,现代临床
当归四逆汤加鹿茸,方剂组成药材,红枣,万友生医生病例集,例2,现代临床
当归四逆汤加鹿茸,方剂组成药材,鹿茸,万友生医生病例集,例2,现代临床
寒凝血脉,证候导致舌象,舌苔稍呈灰白色,万友生医生病例集,例2,现代临床
寒凝血脉,证候导致脉象,脉弦细缓,万友生医生病例集,例2,现代临床
肝肾阳虚,证候导致舌象,舌苔稍呈灰白色,万友生医生病例集,例2,现代临床
肝肾阳虚,证候导致脉象,脉弦细缓,万友生医生病例集,例2,现代临床
